Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,Gender,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,OrderCat_Fashion,OrderCat_Grocery,OrderCat_Laptop & Accessory,OrderCat_Mobile Device,OrderCat_Others,PaymentMode_Cash on Delivery,PaymentMode_Credit Card,PaymentMode_Debit Card,PaymentMode_E wallet,PaymentMode_UPI,MartialStatus_Divorced,MartialStatus_Married,MartialStatus_Single
1,0.12121212121212122,0,3,0.031746031746031744,1,0.625,0.4000000000000001,2,0.7272727272727273,1,0.0,0.0625,0.0,0.3448275862068966,0.49210744945998336,False,False,True,False,False,False,False,True,False,False,False,False,True
1,0.2727272727272727,0,1,0.09523809523809523,0,0.625,0.6000000000000001,3,0.5454545454545454,1,0.27586206896551735,0.0,0.0,0.0,0.37201144650604634,False,False,False,True,False,False,False,False,False,True,False,False,True
1,0.2727272727272727,0,1,0.7936507936507936,0,0.375,0.6000000000000001,3,0.4545454545454545,1,0.2068965517241379,0.0,0.0,0.20689655172413793,0.370103695498323,False,False,False,True,False,False,False,True,False,False,False,False,True
1,0.0,0,3,0.31746031746031744,0,0.375,0.6000000000000001,5,0.6363636363636364,0,0.8275862068965518,0.0,0.0,0.20689655172413793,0.41253577033139477,False,False,True,False,False,False,False,True,False,False,False,False,True
1,0.0,0,1,0.2222222222222222,0,0.625,0.4000000000000001,5,0.1818181818181818,0,0.0,0.0625,0.0,0.20689655172413793,0.39878150096926057,False,False,False,True,False,False,True,False,False,False,False,False,True
1,0.0,1,1,0.5396825396825397,1,0.625,0.8,5,0.09090909090909091,1,0.7586206896551724,0.25,0.33333333333333337,0.48275862068965514,0.42829010123388406,False,False,False,True,False,False,False,True,False,False,False,False,True
1,0.2727272727272727,0,3,0.19047619047619047,0,0.375,0.4000000000000001,2,0.2727272727272727,0,0.2068965517241379,0.0,0.0,0.0,0.37188836579587065,False,False,True,False,False,True,False,False,False,False,True,False,False
1,0.2727272727272727,0,1,0.031746031746031744,0,0.625,0.4000000000000001,2,0.1818181818181818,1,0.3448275862068966,0.125,0.06666666666666667,0.0,0.378257792547463,False,False,False,True,False,False,True,False,False,False,True,False,False
1,0.3939393939393939,0,3,0.12698412698412698,0,0.625,0.6000000000000001,3,0.09090909090909091,1,0.2068965517241379,0.0,0.0,0.13793103448275862,0.39025816178959355,False,False,False,True,False,False,False,False,True,False,True,False,False
1,0.2727272727272727,0,1,0.8253968253968254,0,0.375,0.8,3,0.09090909090909091,0,0.06896551724137934,0.0625,0.0,0.06896551724137931,0.378257792547463,False,False,False,True,False,False,False,True,False,False,False,False,True
1,0.12121212121212122,0,1,0.4126984126984127,1,0.375,0.4000000000000001,3,0.09090909090909091,0,0.27586206896551735,0.5625,0.9333333333333333,0.5517241379310345,0.9091048955352471,False,False,False,False,True,True,False,False,False,False,True,False,False
1,0.33333333333333337,0,1,0.031746031746031744,0,0.625,0.6000000000000001,3,0.8181818181818182,1,0.13793103448275867,0.0,0.0,0.0,0.4732761008031016,True,False,False,False,False,False,False,True,False,False,False,False,True
1,0.0,0,1,0.19047619047619047,0,0.375,0.4000000000000001,3,0.09090909090909091,1,0.13793103448275867,0.125,0.06666666666666667,0.13793103448275862,0.4135819563678882,False,False,False,True,False,True,False,False,False,False,False,False,True
1,0.0,0,1,0.31746031746031744,0,0.625,0.6000000000000001,3,0.0,1,0.4137931034482758,0.0,0.0,0.0,0.4119511369580602,False,False,False,True,False,False,True,False,False,False,True,False,False
1,0.2727272727272727,0,3,0.31746031746031744,0,0.625,0.6000000000000001,2,0.09090909090909091,0,0.3448275862068966,0.0,0.2,0.48275862068965514,0.6036801132342533,True,False,False,False,False,False,True,False,False,False,False,False,True
1,0.2727272727272727,0,2,0.2222222222222222,0,0.625,0.4000000000000001,5,0.36363636363636365,1,0.7586206896551724,0.0625,0.0,0.13793103448275862,0.37148835348779957,False,False,False,True,False,False,False,False,False,True,False,True,False
1,0.0,1,1,0.2222222222222222,1,0.625,0.6000000000000001,2,0.09090909090909091,1,0.48275862068965525,0.0625,0.0,0.0,0.3977353149327671,False,False,False,True,False,False,False,True,False,False,False,False,True
